股票代码,股票名称,总股本(股),流通股本(股),上市日期
000903,云内动力,1970800857,1757537138,1999-04-15
000905,厦门港务,531000000,531000000,1999-04-29
000906,浙商中拓,675535509,660601140,1999-07-07
000908,景峰医药,879774351,700233054,1999-02-03
000909,数源科技,312352464,311002026,1999-05-07
000910,大亚圣象,553980000,540072400,1999-06-30
000911,南宁糖业,324080937,324080937,1999-05-27
000912,*ST天化,1568000000,1568000000,1999-06-03
000913,钱江摩托,453536000,453532625,1999-05-14
000915,山大华特,234331485,233432457,1999-06-09
000917,电广传媒,1417556338,1294639951,1999-03-25
000918,嘉凯城,1804191500,1804191500,1999-07-20
000919,金陵药业,504000000,503011401,1999-11-18
000920,南方汇通,422000000,421877825,1999-06-16
000921,海信家电,903135562,902035065,1999-07-13
000922,*ST佳电,489893378,485302919,1999-06-18
000923,河北宣工,652728961,198000000,1999-07-14
000925,众合科技,550096026,457562175,1999-06-11
000926,福星股份,962462474,947053727,1999-06-18
000927,一汽夏利,1595174020,1595170960,1999-07-27
000928,中钢国际,1256662942,743158264,1999-03-12
000929,兰州黄河,185766000,185754223,1999-06-23
000930,中粮生化,964411115,964397222,1999-07-12
000931,中 关 村,753126982,702090549,1999-07-12
000932,华菱钢铁,3015650025,3015332331,1999-08-03
000933,神火股份,1900500000,1900468650,1999-08-31
000935,四川双马,763440333,763438083,1999-08-24
000936,华西股份,886012887,885374639,1999-08-10
000937,冀中能源,3533546850,2906599842,1999-09-09
000938,紫光股份,1459224426,288512000,1999-11-04
000939,*ST凯迪,3929595494,3036300101,1999-09-23
000948,南天信息,246606046,246502823,1999-10-14
000949,新乡化纤,1257656049,1220263674,1999-10-21
000950,重药控股,1728184696,711011870,1999-09-16
000951,中国重汽,671080800,670946970,1999-11-25
000952,广济药业,251705513,251695243,1999-11-12
000953,ST河化,294059437,294059437,1999-12-02
000955,欣龙控股,538395000,538391250,1999-12-09
000957,中通客车,592903936,592892704,2000-01-13
000958,东方能源,1102273226,1099079201,1999-12-23
000959,首钢股份,5289389600,2966522430,1999-12-16
000960,锡业股份,1668776379,1406140599,2000-02-21
000961,中南建设,3709788797,3699838249,2000-03-01
000962,东方钽业,440832644,440831060,2000-01-20
000963,华东医药,1458174624,1302179973,2000-01-27
000965,天保基建,1109830895,1109830895,2000-04-06
000966,长源电力,1108284080,1108284080,2000-03-16
000967,盈峰环境,1166988852,1093068802,2000-03-30
000968,蓝焰控股,967502660,513441506,2000-06-22
000969,安泰科技,1026008097,905971428,2000-05-29
000970,中科三环,1065200000,1063591194,2000-04-20
000971,高升控股,1088491792,591575047,2000-04-27
000972,ST中基,771283579,771246004,2000-09-26
000973,佛塑科技,967423171,967399968,2000-05-25
000975,银泰资源,1983373047,1228694685,2000-06-08
000976,华铁股份,1595678796,586383332,2000-06-01
000977,浪潮信息,1289252171,1284108728,2000-06-08
000978,桂林旅游,360100000,360053425,2000-05-18
000979,中弘退,8390601199,8388825724,2000-06-16
000980,众泰汽车,2027671288,1240526664,2000-06-16
000981,银亿股份,4027989882,2574315600,2000-06-22
000982,*ST 中绒,1805043279,1805043279,2000-07-06
000983,西山煤电,3151200000,3151197660,2000-07-26
000985,大庆华科,129639500,129639500,2000-07-26
000987,越秀金控,2752884754,538374483,2000-07-18
000988,华工科技,1005502707,890869132,2000-06-08
000989,九 芝 堂,869354236,471772556,2000-06-28
000990,诚志股份,1253011919,387682744,2000-07-06
000993,闽东电力,457951455,373000000,2000-07-31
000995,*ST皇台,177408000,177408000,2000-08-07
000996,中国中期,345000000,345000000,2000-07-18
000997,新 大 陆,1010764017,1004335956,2000-08-07
000998,隆平高科,1256194674,965209614,2000-12-11
000999,华润三九,978900000,978395308,2000-03-09
001696,宗申动力,1145026920,891176550,1997-03-06
001896,豫能控股,1150587847,929510623,1998-01-22
001965,招商公路,6178211497,554832864,2017-12-25
001979,招商蛇口,7904092722,1899822551,2015-12-30
002001,新 和 成,2148662300,1823981362,2004-06-25
002002,鸿达兴业,2588713789,2549650326,2004-06-25
002003,伟星股份,758020428,626993330,2004-06-25
002004,华邦健康,2034827685,1686602544,2004-06-25
002005,德豪润达,1764720000,1240595200,2004-06-25
002006,精功科技,455160000,455160000,2004-06-25
002007,华兰生物,930087680,802552570,2004-06-25
002008,大族激光,1067066782,993312029,2004-06-25
002009,天奇股份,370549434,255822501,2004-06-29
002010,传化智联,3257814678,2735697557,2004-06-29
002011,盾安环境,917212180,839668382,2004-07-05
002012,凯恩股份,467625470,467026145,2004-07-05
002013,中航机电,3608633335,3142563651,2004-07-05
002014,永新股份,503616724,486184645,2004-07-08
002015,霞客环保,400703825,400703825,2004-07-08
002016,世荣兆业,809095632,686845632,2004-07-08
002017,东信和平,346325336,345139778,2004-07-13
002018,*ST华信,2277827422,2277827422,2004-07-13
002019,亿帆医药,1206974577,782465128,2004-07-13
002020,京新药业,724872000,587478803,2004-07-15
002021,中捷资源,687815040,687462540,2004-07-15
002022,科华生物,515224193,512569193,2004-07-21
002023,海特高新,756791003,659280517,2004-07-21
002024,苏宁易购,9310039655,5909249141,2004-07-21
002025,航天电器,429000000,428898772,2004-07-26
002026,山东威达,420098419,369518862,2004-07-27
002027,分众传媒,14677880280,6964888862,2004-08-04
002028,思源电气,760209282,580180137,2004-08-05
002029,七 匹 狼,755670000,744272168,2004-08-06
002030,达安基因,797412519,763811021,2004-08-09
002031,巨轮智能,2199395670,1893048638,2004-08-16
002032,苏 泊 尔,821243960,544236534,2004-08-17
002033,丽江旅游,549490711,549480181,2004-08-25
002034,旺能环境,416565045,142610212,2004-08-26
