股票代码,股票名称,总股本(股),流通股本(股),上市日期
600999,招商证券,6699409300,5884100699,2009-11-17
601000,唐山港,5925928600,5573846000,2010-07-05
601001,大同煤业,1673700000,1673700000,2006-06-23
601002,晋亿实业,792690000,792690000,2007-01-26
601003,柳钢股份,2562793200,2562793200,2007-02-27
601005,重庆钢铁,8918602300,8918602300,2007-02-28
601006,大秦铁路,14866791500,14866791500,2006-08-01
601007,金陵饭店,300000000,300000000,2007-04-06
601008,连云港,1015215100,1015215100,2007-04-26
601009,南京银行,8482207900,8482207900,2007-07-19
601010,文峰股份,1848000000,1848000000,2011-06-03
601011,宝泰隆,1610979600,1599220200,2011-03-09
601012,隆基股份,2790782800,2771206599,2012-04-11
601015,陕西黑猫,1253684200,1122105300,2014-11-05
601016,节能风电,4155560000,4155560000,2014-09-29
601018,宁波港,13172847800,12800000000,2010-09-28
601019,山东出版,2086900000,426900000,2017-11-22
601020,华钰矿业,525916300,284181000,2016-03-16
601021,春秋航空,916897700,800145000,2015-01-21
601028,玉龙股份,783025800,783025800,2011-11-07
601038,一拖股份,985850000,985850000,2012-08-08
601058,赛轮轮胎,2701460700,2260519200,2011-06-30
601066,中信建投,7646385200,1661023800,2018-06-20
601068,中铝国际,2959066700,695382700,2018-08-31
601069,西部黄金,636000000,636000000,2015-01-22
601086,国芳集团,666000000,166000000,2017-09-29
601088,中国神华,19889620500,19889620500,2007-10-09
601098,中南传媒,1796000000,1796000000,2010-10-28
601099,太平洋,6816316400,6478816400,2007-12-28
601100,恒立液压,882000000,882000000,2011-10-28
601101,昊华能源,1199998300,1199998300,2010-03-31
601106,中国一重,6857782900,6538000000,2010-02-09
601107,四川成渝,3058060000,3058060000,2009-07-27
601108,财通证券,3589000000,2406692600,2017-10-24
601111,中国国航,14524815200,14011336399,2006-08-18
601113,华鼎股份,1113828500,833050000,2011-05-09
601116,三江购物,547678400,410758800,2011-03-02
601117,中国化学,4933000000,4933000000,2010-01-07
601118,海南橡胶,4279427800,3931171599,2011-01-07
601126,四方股份,813172000,813172000,2010-12-31
601127,小康股份,939845600,215565600,2016-06-15
601128,常熟银行,2222789200,997250200,2016-09-30
601137,博威合金,627219700,563928600,2011-01-27
601138,工业富联,19695300200,1117889700,2018-06-08
601139,深圳燃气,2877800100,2854679099,2009-12-25
601155,新城控股,2256724200,2245984200,2015-12-04
601158,重庆水务,4800000000,4800000000,2010-03-29
601162,天风证券,5180000000,518000000,2018-10-19
601163,三角轮胎,800000000,280442800,2016-09-09
601166,兴业银行,20774190800,19052336800,2007-02-05
601168,西部矿业,2383000000,2383000000,2007-07-12
601169,北京银行,21142984300,18248010800,2007-09-19
601177,杭齿前进,400060000,400060000,2010-10-11
601179,中国西电,5125882400,5125882400,2010-01-28
601186,中国铁建,13579541500,13579541500,2008-03-10
601188,龙江交通,1315878599,1315878599,2010-03-19
601198,东兴证券,2757960700,2757960700,2015-02-26
601199,江南水务,935206600,935206600,2011-03-17
601200,上海环境,702543900,672331300,2017-03-31
601208,东材科技,626601000,626601000,2011-05-20
601211,国泰君安,8713940500,8713940500,2015-06-26
601212,白银有色,6972965900,1964675100,2017-02-15
601216,君正集团,8438017400,8438017400,2011-02-22
601218,吉鑫科技,991760000,991760000,2011-05-06
601222,林洋能源,1765410500,1748869500,2011-08-08
601225,陕西煤业,10000000000,10000000000,2014-01-28
601226,华电重工,1155000000,1155000000,2014-12-11
601228,广州港,6193180000,1443180000,2017-03-29
601229,上海银行,10928099000,5195577400,2016-11-16
601231,环旭电子,2175923600,2175923600,2012-02-20
601233,桐昆股份,1821933000,1784366000,2011-05-18
601238,广汽集团,10231173100,9176426800,2012-03-29
601258,庞大集团,6674663400,6538478400,2011-04-28
601288,农业银行,349983033900,324794117000,2010-07-15
601311,骆驼股份,848397800,848397800,2011-06-02
601318,中国平安,18280241400,18280241400,2007-03-01
601319,中国人保,44223990599,9737474000,2018-11-16
601326,秦港股份,5587412000,2483097800,2017-08-16
601328,交通银行,74262726600,74262726600,2007-05-15
601330,绿色动力,1161200000,520559800,2018-06-11
601333,广深铁路,7083537000,7083537000,2006-12-22
601336,新华保险,3119546599,3119546599,2011-12-16
601339,百隆东方,1500000000,1500000000,2012-06-12
601360,三六零,6764055200,397182400,2012-01-16
601366,利群股份,860500500,475028200,2017-04-12
601368,绿城水务,735810900,735810900,2015-06-12
601369,陕鼓动力,1638770200,1638770200,2010-04-28
601375,中原证券,3869070700,2998107700,2017-01-03
601377,兴业证券,6696671700,6696671700,2010-10-13
601388,怡球资源,2025400000,2025400000,2012-04-23
601390,中国中铁,22844301500,22844301500,2007-12-03
601398,工商银行,356406257100,356406257100,2006-10-27
601500,通用股份,726919100,174919100,2016-09-19
601515,东风股份,1112000000,1112000000,2012-02-16
601518,吉林高速,1350395100,1213200000,2010-03-19
601519,大智慧,1987700000,1987700000,2011-01-28
601555,东吴证券,3000000000,2891000000,2011-12-12
601558,ST锐电,6030600000,5707200000,2011-01-13
601566,九牧王,574637200,574637200,2011-05-30
601567,三星医疗,1417997500,1417997500,2011-06-15
601577,长沙银行,3421553800,342155400,2018-09-26
601579,会稽山,497360000,400000000,2014-08-25
601588,北辰实业,3367020000,3367020000,2006-10-16
601595,上海电影,373500000,106045300,2016-08-17
601599,鹿港文化,892725000,892725000,2011-05-27
601600,中国铝业,14903798200,14903798200,2007-04-30
601601,中国太保,9062000000,9062000000,2007-12-25
601606,长城军工,724228400,148000000,2018-08-06
601607,上海医药,2842089300,2842007700,1994-03-24
601608,中信重工,4339419300,4339419300,2012-07-06
601611,中国核建,2625000000,961800000,2016-06-06
601616,广电电气,935575000,935575000,2011-02-01
601618,中国中冶,20723619200,20723619200,2009-09-21
601619,嘉泽新能,1933000000,503754700,2017-07-20
